Username,Rank,Damage/Round,K/D Ratio,Headshot %,Win %,Wins,KAST,DDΔ/Round,Kills,Deaths,Assists,ACS,KAD Ratio,Kills/Round,First Bloods,Flawless Rounds,Aces
Nikkodinho#HAN,Ascendant 2,163.9,1.08,32.4%,53.0%,80,71.3%,11,"2,717","2,526",732,248.1,1.37,0.9,480,121,8
ImDaMinh#7777,Ascendant 1,140.5,1.08,22.5%,53.3%,32,73.8%,11,950,883,402,209.4,1.53,0.7,68,42,1
Một Mẩu#1803,Diamond 2,113.7,0.83,31.0%,52.8%,57,72.4%,-27,"1,378","1,668",796,173.0,1.30,0.6,91,93,0
ArCnal#Linh,Diamond 3,131.9,0.93,34.1%,63.9%,39,70.9%,-2,905,972,502,200.7,1.45,0.7,136,52,0
Iem Đeng MaoPhắc#MMB,Platinum 1,156.5,0.98,25.5%,66.7%,4,71.5%,-1,97,99,40,224.2,1.38,0.7,6,5,0
YungTobi Sờ Đíck#TOBI,Platinum 1,127.3,0.87,26.9%,58.9%,33,66.9%,-18,777,895,259,195.5,1.16,0.7,113,42,2
Virus#LAJV,Ascendant 1,122.5,0.77,19.4%,50.7%,69,67.8%,-27,"1,766","2,281",677,182.5,1.07,0.6,279,111,4
ngốn lào#kezin,Ascendant 2,144.2,1.03,22.3%,49.0%,123,72.5%,7,"3,971","3,843","1,407",218.7,1.40,0.8,465,187,5
K1N#gnouh,Ascendant 1,151.6,1.14,21.2%,51.7%,107,75.4%,22,"3,401","2,979","1,478",224.4,1.64,0.8,330,178,6
itsmetrucc#uno,Ascendant 1,147.4,1.02,25.9%,49.0%,47,71.6%,3,"1,590","1,559",455,224.6,1.31,0.8,264,71,1
